Name	Rearrangement	Support
CAP286_NEF_1_W12_QVOA	CAP286-147WPI*7	0.4897778640290811
CAP286_NEF_1_W12_QVOA	CAP286	0.4973078810666449
CAP286_NEF_1_W10_QVOA	CAP286-147WPI*13	0.174775679526887
CAP286_NEF_1_W10_QVOA	CAP286-147WPI*11	0.06940130734463584
CAP286_NEF_1_W10_QVOA	CAP286	0.5687030837796698
CAP286_NEF_1_W10_QVOA	CAP286-118WPI	0.1758659235297889
CAP286_NEF_1_W8_QVOA	CAP286-066WPI*17	0.1043897346593892
CAP286_NEF_1_W8_QVOA	CAP286-066WPI*41	0.1043897397269139
CAP286_NEF_1_W8_QVOA	CAP286-066WPI*22	0.1043897431401707
CAP286_NEF_1_W8_QVOA	CAP286-066WPI*21	0.1043897404481401
CAP286_NEF_1_W8_QVOA	CAP286-093WPI*19	0.2087794620766572
CAP286_NEF_1_W8_QVOA	CAP286-093WPI*12	0.01882037981812289
CAP286_NEF_1_W8_QVOA	CAP286-118WPI*4	0.03764076435688489
CAP286_NEF_1_W8_QVOA	CAP286-066WPI	0.1045004367986622
CAP286_NEF_1_W8_QVOA	CAP286	0.2098271777853029
CAP286_NEF_1_B_W5_QVOA	CAP286-093WPI*67	0.03252726244431171
CAP286_NEF_1_B_W5_QVOA	CAP286-118WPI*51	0.01626363081716318
CAP286_NEF_1_B_W5_QVOA	CAP286-175WPI*25	0.08694558787278386
CAP286_NEF_1_B_W5_QVOA	CAP286-093WPI*68	0.08668768506761346
CAP286_NEF_1_B_W5_QVOA	CAP286-093WPI*70	0.2600630416169863
CAP286_NEF_1_B_W5_QVOA	CAP286-162WPI*19	0.04307192153747499
CAP286_NEF_1_B_W5_QVOA	CAP286-162WPI*13	0.09173917932276213
CAP286_NEF_1_B_W5_QVOA	CAP286-162WPI*27	0.0917391711201818
CAP286_NEF_1_B_W5_QVOA	CAP286-175WPI*23	0.09173917634070719
CAP286_NEF_1_B_W5_QVOA	CAP286	0.1890088847640796
CAP286_NEF_1_W16_QVOA	CAP286-066WPI*17	0.1043897346593892
CAP286_NEF_1_W16_QVOA	CAP286-066WPI*41	0.1043897397269139
CAP286_NEF_1_W16_QVOA	CAP286-066WPI*22	0.1043897431401707
CAP286_NEF_1_W16_QVOA	CAP286-066WPI*21	0.1043897404481401
CAP286_NEF_1_W16_QVOA	CAP286-093WPI*19	0.2087794620766572
CAP286_NEF_1_W16_QVOA	CAP286-093WPI*12	0.01882037981812289
CAP286_NEF_1_W16_QVOA	CAP286-118WPI*4	0.03764076435688489
CAP286_NEF_1_W16_QVOA	CAP286-066WPI	0.1045004367986622
CAP286_NEF_1_W16_QVOA	CAP286	0.2098271777853029
CAP286_NEF_1_W1_QVOA	CAP286-066WPI*17	0.1043897346593892
CAP286_NEF_1_W1_QVOA	CAP286-066WPI*41	0.1043897397269139
CAP286_NEF_1_W1_QVOA	CAP286-066WPI*22	0.1043897431401707
CAP286_NEF_1_W1_QVOA	CAP286-066WPI*21	0.1043897404481401
CAP286_NEF_1_W1_QVOA	CAP286-093WPI*19	0.2087794620766572
CAP286_NEF_1_W1_QVOA	CAP286-093WPI*12	0.01882037981812289
CAP286_NEF_1_W1_QVOA	CAP286-118WPI*4	0.03764076435688489
CAP286_NEF_1_W1_QVOA	CAP286-066WPI	0.1045004367986622
CAP286_NEF_1_W1_QVOA	CAP286	0.2098271777853029
CAP286_NEF_1_B_W10_QVOA	CAP286-225WPI*17	0.9857369486537674
CAP286_NEF_1_W22_QVOA	CAP286-147WPI*24	0.3305846607031363
CAP286_NEF_1_W22_QVOA	CAP286-147WPI*50	0.6611693147196352
CAP286_NEF_1_W11_QVOA	CAP286-066WPI*17	0.1043897346593892
CAP286_NEF_1_W11_QVOA	CAP286-066WPI*41	0.1043897397269139
CAP286_NEF_1_W11_QVOA	CAP286-066WPI*22	0.1043897431401707
CAP286_NEF_1_W11_QVOA	CAP286-066WPI*21	0.1043897404481401
CAP286_NEF_1_W11_QVOA	CAP286-093WPI*19	0.2087794620766572
CAP286_NEF_1_W11_QVOA	CAP286-093WPI*12	0.01882037981812289
CAP286_NEF_1_W11_QVOA	CAP286-118WPI*4	0.03764076435688489
CAP286_NEF_1_W11_QVOA	CAP286-066WPI	0.1045004367986622
CAP286_NEF_1_W11_QVOA	CAP286	0.2098271777853029
CAP286_NEF_1_B_W1_QVOA	CAP286-066WPI*65	0.02440192483723166
CAP286_NEF_1_B_W1_QVOA	CAP286-016WPI*53	0.02437115814982702
CAP286_NEF_1_B_W1_QVOA	CAP286-093WPI*46	0.02437116157521883
CAP286_NEF_1_B_W1_QVOA	CAP286-039WPI*1	0.02437115988793
CAP286_NEF_1_B_W1_QVOA	CAP286-066WPI*49	0.0243711653780554
CAP286_NEF_1_B_W1_QVOA	CAP286-016WPI*54	0.02437115835117787
CAP286_NEF_1_B_W1_QVOA	CAP286-016WPI*48	0.02437116000588339
CAP286_NEF_1_B_W1_QVOA	CAP286-066WPI*51	0.02437115755648039
CAP286_NEF_1_B_W1_QVOA	CAP286-016WPI*49	0.02437389134640992
CAP286_NEF_1_B_W1_QVOA	CAP286-016WPI*25	0.02437115755035164
CAP286_NEF_1_B_W1_QVOA	CAP286-066WPI*56	0.0243711598277065
CAP286_NEF_1_B_W1_QVOA	CAP286-039WPI*15	0.02437116192915661
CAP286_NEF_1_B_W1_QVOA	CAP286-066WPI*60	0.02438923959213023
CAP286_NEF_1_B_W1_QVOA	CAP286-039WPI*3	0.02443495016519732
CAP286_NEF_1_B_W1_QVOA	CAP286-039WPI*13	0.02437115985013792
CAP286_NEF_1_B_W1_QVOA	CAP286-039WPI*12	0.02437116105979472
CAP286_NEF_1_B_W1_QVOA	CAP286-016WPI*52	0.0243711604878155
CAP286_NEF_1_B_W1_QVOA	CAP286-066WPI*68	0.02437116322147953
CAP286_NEF_1_B_W1_QVOA	CAP286-066WPI*48	0.02437115767687197
CAP286_NEF_1_B_W1_QVOA	CAP286-039WPI*18	0.02437116102787648
CAP286_NEF_1_B_W1_QVOA	CAP286-066WPI*53	0.02437115964444263
CAP286_NEF_1_B_W1_QVOA	CAP286-016WPI	0.02437965982264272
CAP286_NEF_1_B_W1_QVOA	CAP286	0.4388588443036295
CAP286_NEF_1_B_W1_QVOA	CAP286-039WPI	0.02437115964444263
CAP286_NEF_1_B_W7_QVOA	CAP286-225WPI*13	0.624443628535143
CAP286_NEF_1_B_W7_QVOA	CAP286-225WPI	0.3622452306960749
CAP286_NEF_1_W13_QVOA	CAP286-225WPI*18	0.9019542783773576
CAP286_NEF_1_W13_QVOA	CAP286-147WPI*14	0.0178238506256149
CAP286_NEF_1_W13_QVOA	CAP286-225WPI*20	0.01789998490373505
CAP286_NEF_1_W13_QVOA	CAP286	0.01790711998664196
CAP286_NEF_1_W13_QVOA	CAP286-225WPI	0.04041610477001097
CAP286_NEF_1_B_W8_QVOA	CAP286-147WPI*23	0.01109952995751248
CAP286_NEF_1_B_W8_QVOA	CAP286-118WPI*53	0.02219905410364788
CAP286_NEF_1_B_W8_QVOA	CAP286-147WPI*38	0.9364824494194923
CAP286_NEF_1_B_W8_QVOA	CAP286-118WPI*50	0.02183500790279392
CAP286_NEF_1_B_W3_QVOA	CAP286-066WPI*17	0.1043897346593892
CAP286_NEF_1_B_W3_QVOA	CAP286-066WPI*41	0.1043897397269139
CAP286_NEF_1_B_W3_QVOA	CAP286-066WPI*22	0.1043897431401707
CAP286_NEF_1_B_W3_QVOA	CAP286-066WPI*21	0.1043897404481401
CAP286_NEF_1_B_W3_QVOA	CAP286-093WPI*19	0.2087794620766572
CAP286_NEF_1_B_W3_QVOA	CAP286-093WPI*12	0.01882037981812289
CAP286_NEF_1_B_W3_QVOA	CAP286-118WPI*4	0.03764076435688489
CAP286_NEF_1_B_W3_QVOA	CAP286-066WPI	0.1045004367986622
CAP286_NEF_1_B_W3_QVOA	CAP286	0.2098271777853029
